Country,country_total_quantity,country_total_revenue,country_customer_count,country_product_count,country_line_count,country_order_count,country_first_order_date,country_last_order_date,country_avg_order_value
Australia,83891,138453.81,9,599,1181,57,2010-12-01 10:03:00,2011-11-24 12:30:00,2429.01
Austria,4881,10198.68,11,306,398,17,2010-12-17 09:38:00,2011-12-08 10:26:00,599.92
Bahrain,260,548.4,2,16,17,2,2011-05-09 13:49:00,2011-05-19 17:47:00,274.2
Belgium,23237,41196.34,25,777,2031,98,2010-12-03 16:35:00,2011-12-09 10:10:00,420.37
Brazil,356,1143.6,1,32,32,1,2011-04-15 10:25:00,2011-04-15 10:25:00,1143.6
Canada,2763,3666.38,4,147,151,6,2011-03-14 13:53:00,2011-08-25 11:27:00,611.06
Channel Islands,9485,20440.54,9,430,747,26,2010-12-09 11:48:00,2011-12-05 10:19:00,786.17
Cyprus,6340,13502.85,8,498,603,16,2010-12-14 12:58:00,2011-11-18 12:07:00,843.93
Czech Republic,671,826.74,1,25,25,2,2011-02-28 08:43:00,2011-10-07 10:37:00,413.37
Denmark,8235,18955.34,9,251,380,18,2010-12-09 12:05:00,2011-12-05 16:48:00,1053.07
EIRE,140133,265262.46,3,1943,7226,260,2010-12-01 14:05:00,2011-12-08 15:54:00,1020.24
European Community,499,1300.25,1,50,60,4,2011-04-26 10:54:00,2011-07-21 10:24:00,325.06
Finland,10704,22546.08,12,458,685,41,2010-12-16 19:09:00,2011-12-02 13:15:00,549.9
France,111428,208934.31,87,1522,8326,389,2010-12-01 08:45:00,2011-12-09 12:50:00,537.11
Germany,119154,228678.4,94,1664,9025,457,2010-12-01 13:04:00,2011-12-09 12:16:00,500.39
Greece,1557,4760.52,4,138,145,5,2011-01-24 11:39:00,2011-12-06 09:56:00,952.1
Iceland,2458,4310.0,1,103,182,7,2010-12-07 14:57:00,2011-12-07 15:52:00,615.71
Israel,4043,7215.84,3,219,245,5,2011-02-16 10:53:00,2011-10-04 14:55:00,1443.17
Italy,8112,17483.24,14,473,758,38,2010-12-03 15:45:00,2011-12-06 09:35:00,460.09
Japan,26016,37416.37,8,215,321,19,2010-12-05 15:46:00,2011-11-29 15:52:00,1969.28
Lebanon,386,1693.88,1,45,45,1,2011-01-27 10:19:00,2011-01-27 10:19:00,1693.88
Lithuania,652,1661.06,1,29,35,4,2010-12-05 12:00:00,2010-12-08 14:43:00,415.26
Malta,970,2725.59,2,99,112,5,2011-06-08 08:31:00,2011-11-17 08:41:00,545.12
Netherlands,200361,285446.34,9,782,2359,94,2010-12-01 11:27:00,2011-12-08 12:12:00,3036.66
Norway,19336,36165.44,10,591,1071,36,2010-12-01 13:24:00,2011-12-09 10:02:00,1004.6
Poland,3684,7334.65,6,204,330,19,2010-12-03 13:40:00,2011-11-04 10:11:00,386.03
Portugal,16095,33375.84,19,686,1453,57,2010-12-03 15:14:00,2011-12-07 15:56:00,585.54
RSA,351,1002.31,1,57,57,1,2011-10-13 12:50:00,2011-10-13 12:50:00,1002.31
Saudi Arabia,80,145.92,1,9,9,1,2011-02-24 10:34:00,2011-02-24 10:34:00,145.92
Singapore,5241,21279.29,1,178,222,7,2011-01-25 13:26:00,2011-10-19 11:18:00,3039.9
Spain,27933,61558.56,30,1091,2479,90,2010-12-03 12:20:00,2011-12-07 17:05:00,683.98
Sweden,36078,38367.83,8,261,450,36,2010-12-14 13:28:00,2011-12-05 16:26:00,1065.77
Switzerland,30082,56443.95,21,947,1841,51,2010-12-03 10:36:00,2011-11-29 08:40:00,1106.74
USA,2458,3580.39,4,163,179,5,2011-04-19 16:19:00,2011-12-05 10:14:00,716.08
United Arab Emirates,982,1902.28,2,68,68,3,2011-02-14 12:46:00,2011-09-22 13:00:00,634.09
United Kingdom,4241305,7285024.64,3920,3645,349203,16646,2010-12-01 08:26:00,2011-12-09 12:49:00,437.64
Unspecified,1785,2660.77,4,213,241,8,2011-04-11 13:29:00,2011-08-22 13:32:00,332.6
