InvoiceNo,CustomerID,Country,OrderDate,OrderMonth,order_line_count,order_unique_products,order_total_quantity,order_total_revenue,order_avg_unit_price
536365,17850,United Kingdom,2010-12-01 08:26:00,2010-12,7,7,40,139.12,3.91
536366,17850,United Kingdom,2010-12-01 08:28:00,2010-12,2,2,12,22.2,1.85
536367,13047,United Kingdom,2010-12-01 08:34:00,2010-12,12,12,83,278.73,4.85
536368,13047,United Kingdom,2010-12-01 08:34:00,2010-12,4,4,15,70.05,4.78
536369,13047,United Kingdom,2010-12-01 08:35:00,2010-12,1,1,3,17.85,5.95
536370,12583,France,2010-12-01 08:45:00,2010-12,20,20,449,855.86,2.76
536371,13748,United Kingdom,2010-12-01 09:00:00,2010-12,1,1,80,204.0,2.55
536372,17850,United Kingdom,2010-12-01 09:01:00,2010-12,2,2,12,22.2,1.85
536373,17850,United Kingdom,2010-12-01 09:02:00,2010-12,16,16,88,259.86,3.32
536374,15100,United Kingdom,2010-12-01 09:09:00,2010-12,1,1,32,350.4,10.95
536375,17850,United Kingdom,2010-12-01 09:32:00,2010-12,16,16,88,259.86,3.32
536376,15291,United Kingdom,2010-12-01 09:32:00,2010-12,2,2,112,328.8,3.0
536377,17850,United Kingdom,2010-12-01 09:34:00,2010-12,2,2,12,22.2,1.85
536378,14688,United Kingdom,2010-12-01 09:37:00,2010-12,19,19,454,444.98,1.76
536380,17809,United Kingdom,2010-12-01 09:41:00,2010-12,1,1,24,34.8,1.45
536381,15311,United Kingdom,2010-12-01 09:41:00,2010-12,35,34,198,449.98,2.52
536382,16098,United Kingdom,2010-12-01 09:45:00,2010-12,12,12,134,430.6,5.97
536384,18074,United Kingdom,2010-12-01 09:53:00,2010-12,13,13,190,489.6,4.78
536385,17420,United Kingdom,2010-12-01 09:56:00,2010-12,7,7,53,130.85,5.57
536386,16029,United Kingdom,2010-12-01 09:57:00,2010-12,3,3,236,508.2,2.75
536387,16029,United Kingdom,2010-12-01 09:58:00,2010-12,5,5,1440,3193.92,2.65
536388,16250,United Kingdom,2010-12-01 09:59:00,2010-12,14,14,108,226.14,3.38
536389,12431,Australia,2010-12-01 10:03:00,2010-12,14,14,107,358.25,5.28
536390,17511,United Kingdom,2010-12-01 10:19:00,2010-12,24,24,1568,1825.74,2.45
536392,13705,United Kingdom,2010-12-01 10:29:00,2010-12,10,10,103,318.14,18.4
536393,13747,United Kingdom,2010-12-01 10:37:00,2010-12,1,1,8,79.6,9.95
536394,13408,United Kingdom,2010-12-01 10:39:00,2010-12,11,11,544,1024.68,2.19
536395,13767,United Kingdom,2010-12-01 10:47:00,2010-12,14,14,260,507.88,2.57
536396,17850,United Kingdom,2010-12-01 10:51:00,2010-12,18,18,102,376.36,5.21
536397,17924,United Kingdom,2010-12-01 10:51:00,2010-12,2,2,60,279.0,4.65
536398,13448,United Kingdom,2010-12-01 10:52:00,2010-12,17,17,150,426.56,3.75
536399,17850,United Kingdom,2010-12-01 10:52:00,2010-12,2,2,12,22.2,1.85
536400,13448,United Kingdom,2010-12-01 10:53:00,2010-12,1,1,12,17.4,1.45
536401,15862,United Kingdom,2010-12-01 11:21:00,2010-12,64,64,124,354.23,3.24
536402,15513,United Kingdom,2010-12-01 11:22:00,2010-12,3,3,116,357.0,3.12
536403,12791,Netherlands,2010-12-01 11:27:00,2010-12,2,2,97,192.6,8.43
536404,16218,United Kingdom,2010-12-01 11:29:00,2010-12,28,28,438,471.3,1.17
536405,14045,United Kingdom,2010-12-01 11:32:00,2010-12,1,1,128,326.4,2.55
536406,17850,United Kingdom,2010-12-01 11:33:00,2010-12,17,17,96,353.14,5.23
536407,17850,United Kingdom,2010-12-01 11:34:00,2010-12,2,2,12,22.2,1.85
536408,14307,United Kingdom,2010-12-01 11:41:00,2010-12,48,48,558,783.11,2.4
536409,17908,United Kingdom,2010-12-01 11:45:00,2010-12,54,51,169,232.03,2.66
536412,17920,United Kingdom,2010-12-01 11:49:00,2010-12,68,54,197,453.46,2.76
536415,12838,United Kingdom,2010-12-01 11:57:00,2010-12,59,59,228,390.79,1.97
536416,13255,United Kingdom,2010-12-01 11:58:00,2010-12,6,6,110,225.7,4.55
536420,16583,United Kingdom,2010-12-01 12:03:00,2010-12,14,14,111,233.45,2.56
536423,18085,United Kingdom,2010-12-01 12:08:00,2010-12,9,9,78,303.9,3.84
536425,13758,United Kingdom,2010-12-01 12:08:00,2010-12,17,17,137,362.45,3.62
536437,13694,United Kingdom,2010-12-01 12:12:00,2010-12,6,6,1004,842.12,1.76
536446,15983,United Kingdom,2010-12-01 12:15:00,2010-12,31,28,323,430.99,1.89
536460,14849,United Kingdom,2010-12-01 12:22:00,2010-12,14,14,158,295.54,3.55
536463,14849,United Kingdom,2010-12-01 12:22:00,2010-12,1,1,12,17.4,1.45
536464,17968,United Kingdom,2010-12-01 12:23:00,2010-12,81,74,151,265.1,1.93
536466,14849,United Kingdom,2010-12-01 12:23:00,2010-12,2,2,18,42.9,2.85
536477,16210,United Kingdom,2010-12-01 12:27:00,2010-12,14,14,1070,2474.74,2.59
536488,17897,United Kingdom,2010-12-01 12:31:00,2010-12,34,31,71,163.34,2.71
536500,17377,United Kingdom,2010-12-01 12:35:00,2010-12,15,15,102,223.9,2.81
536502,16552,United Kingdom,2010-12-01 12:36:00,2010-12,5,5,39,95.29,4.64
536508,17181,United Kingdom,2010-12-01 12:38:00,2010-12,2,2,216,155.52,0.8
536514,17951,United Kingdom,2010-12-01 12:40:00,2010-12,5,5,118,295.5,4.4
536520,14729,United Kingdom,2010-12-01 12:43:00,2010-12,71,69,197,313.49,2.16
536521,12748,United Kingdom,2010-12-01 12:48:00,2010-12,1,1,1,4.95,4.95
536522,15012,United Kingdom,2010-12-01 12:49:00,2010-12,52,46,84,188.56,2.76
536523,12868,United Kingdom,2010-12-01 12:50:00,2010-12,12,12,112,203.3,3.17
536524,17572,United Kingdom,2010-12-01 12:51:00,2010-12,4,4,24,70.8,2.95
536525,14078,United Kingdom,2010-12-01 12:54:00,2010-12,13,13,29,136.24,3.49
536526,14001,United Kingdom,2010-12-01 12:58:00,2010-12,9,9,94,301.24,4.42
536527,12662,Germany,2010-12-01 13:04:00,2010-12,15,15,157,261.48,2.96
536528,15525,United Kingdom,2010-12-01 13:17:00,2010-12,48,44,113,274.93,3.28
536529,14237,United Kingdom,2010-12-01 13:20:00,2010-12,9,9,38,161.0,7.12
536530,17905,United Kingdom,2010-12-01 13:21:00,2010-12,22,22,71,200.5,4.94
536531,15485,United Kingdom,2010-12-01 13:23:00,2010-12,22,22,391,939.59,4.18
536532,12433,Norway,2010-12-01 13:24:00,2010-12,73,73,1852,1919.14,1.41
536533,16955,United Kingdom,2010-12-01 13:31:00,2010-12,6,6,80,156.1,6.68
536534,15350,United Kingdom,2010-12-01 13:33:00,2010-12,5,5,51,115.65,2.67
