StockCode,product_description,product_total_quantity,product_total_revenue,product_order_count,product_customer_count,product_country_count,product_avg_unit_price,product_first_sold_date,product_last_sold_date
10002,INFLATABLE POLITICAL GLOBE,823,699.55,49,40,7,0.85,2010-12-01 08:45:00,2011-04-18 12:56:00
10080,GROOVY CACTUS INFLATABLE,291,114.41,21,19,1,0.41,2011-02-27 13:47:00,2011-11-21 17:04:00
10120,DOGGY RUBBER,192,40.32,29,25,2,0.21,2010-12-03 11:19:00,2011-12-04 13:15:00
10123C,HEARTS WRAPPING TAPE,5,3.25,3,3,1,0.65,2010-12-03 11:19:00,2011-03-31 13:14:00
10124A,SPOTS ON RED BOOKCOVER TAPE,16,6.72,5,5,1,0.42,2010-12-06 13:13:00,2011-11-06 13:00:00
10124G,ARMY CAMO BOOKCOVER TAPE,17,7.14,4,4,1,0.42,2010-12-02 13:14:00,2011-11-06 13:00:00
10125,MINI FUNKY DESIGN TAPES,1225,929.45,61,49,4,0.78,2010-12-01 12:23:00,2011-12-09 10:13:00
10133,COLOURING PENCILS BROWN TUBE,2373,1138.99,122,101,6,0.53,2010-12-01 12:15:00,2011-09-07 10:07:00
10135,COLOURING PENCILS BROWN TUBE,1936,1784.19,117,92,6,1.2,2010-12-02 10:35:00,2011-12-07 13:35:00
11001,ASSTD DESIGN RACING CAR PEN,1252,1953.0,62,44,7,1.85,2010-12-05 11:10:00,2011-12-05 17:17:00
15030,FAN BLACK FRAME,143,41.47,12,11,1,0.29,2011-03-24 13:37:00,2011-12-06 12:21:00
15034,PAPER POCKET TRAVELING FAN,6419,697.06,91,70,5,0.14,2010-12-05 13:55:00,2011-11-28 13:56:00
15036,ASSORTED COLOURS SILK FAN,21876,16044.44,324,194,10,0.81,2010-12-02 15:03:00,2011-12-02 17:06:00
15039,SANDALWOOD FAN,1558,1132.3,70,58,4,0.84,2010-12-05 12:43:00,2011-12-08 13:50:00
