CustomerID,customer_order_count,customer_total_revenue,customer_avg_order_value,customer_first_order_date,customer_last_order_date,customer_active_months,customer_total_quantity,customer_unique_products,customer_line_count,customer_country_count,primary_country,customer_active_days,value_tier
12346,1,77183.6,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,1,74215,1,1,1,United Kingdom,0,High Value
12347,7,4310.0,615.71,2010-12-07 14:57:00,2011-12-07 15:52:00,7,2458,103,182,1,Iceland,365,High Value
12348,4,1797.24,449.31,2010-12-16 19:09:00,2011-09-25 13:13:00,4,2341,22,31,1,Finland,282,Medium Value
12349,1,1757.55,1757.55,2011-11-21 09:51:00,2011-11-21 09:51:00,1,631,73,73,1,Italy,0,Medium Value
12350,1,334.4,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,1,197,17,17,1,Norway,0,Low Value
12352,8,2506.04,313.26,2011-02-16 12:33:00,2011-11-03 14:37:00,4,536,59,85,1,Norway,260,High Value
12353,1,89.0,89.0,2011-05-19 17:47:00,2011-05-19 17:47:00,1,20,4,4,1,Bahrain,0,Low Value
12354,1,1079.4,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,1,530,58,58,1,Spain,0,Medium Value
12355,1,459.4,459.4,2011-05-09 13:49:00,2011-05-09 13:49:00,1,240,13,13,1,Bahrain,0,Medium Value
12356,3,2811.43,937.14,2011-01-18 09:50:00,2011-11-17 08:40:00,3,1591,53,59,1,Portugal,302,High Value
12357,1,6207.67,6207.67,2011-11-06 16:07:00,2011-11-06 16:07:00,1,2708,131,131,1,Switzerland,0,High Value
12358,2,1168.06,584.03,2011-07-12 10:04:00,2011-12-08 10:26:00,2,248,13,19,1,Austria,149,Medium Value
12359,4,6310.03,1577.51,2011-01-12 12:43:00,2011-10-13 12:47:00,4,1609,214,245,1,Cyprus,274,High Value
12360,3,2662.06,887.35,2011-05-23 09:43:00,2011-10-18 15:22:00,3,1165,105,129,1,Austria,148,High Value
12361,1,189.9,189.9,2011-02-25 13:51:00,2011-02-25 13:51:00,1,91,10,10,1,Belgium,0,Low Value
12362,10,5226.23,522.62,2011-02-17 10:30:00,2011-12-06 15:40:00,8,2229,201,266,1,Belgium,292,High Value
12363,2,552.0,276.0,2011-04-11 13:29:00,2011-08-22 10:18:00,2,408,23,23,1,Unspecified,132,Medium Value
12364,4,1313.1,328.28,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1506,70,85,1,Belgium,104,Medium Value
12365,2,641.38,320.69,2011-02-21 13:51:00,2011-02-21 14:04:00,1,174,22,22,1,Cyprus,0,Medium Value
12367,1,168.9,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,1,173,11,11,1,Denmark,0,Low Value
12370,4,3541.94,885.48,2010-12-14 12:58:00,2011-10-19 14:51:00,3,2352,143,166,2,Cyprus,309,High Value
12371,2,1887.96,943.98,2011-10-11 10:43:00,2011-10-26 10:16:00,1,591,63,63,1,Switzerland,14,Medium Value
12372,3,1298.04,432.68,2011-02-16 12:46:00,2011-09-29 12:12:00,3,794,34,52,1,Denmark,224,Medium Value
12373,1,364.6,364.6,2011-02-01 13:10:00,2011-02-01 13:10:00,1,197,14,14,1,Austria,0,Medium Value
12374,1,742.93,742.93,2011-11-14 15:37:00,2011-11-14 15:37:00,1,342,33,33,1,Austria,0,Medium Value
12375,2,457.5,228.75,2011-09-02 14:23:00,2011-11-29 10:36:00,2,178,14,17,1,Finland,87,Medium Value
12377,2,1628.12,814.06,2010-12-20 09:37:00,2011-01-28 15:45:00,2,944,72,77,1,Switzerland,39,Medium Value
12378,1,4008.62,4008.62,2011-08-02 10:34:00,2011-08-02 10:34:00,1,2529,219,219,1,Switzerland,0,High Value
12379,2,852.24,426.12,2011-06-22 16:32:00,2011-09-19 10:09:00,2,407,39,40,1,Belgium,88,Medium Value
12380,4,2724.81,681.2,2011-06-07 09:49:00,2011-11-18 11:27:00,4,1127,77,104,1,Belgium,164,High Value
12381,5,1845.31,369.06,2011-08-12 09:57:00,2011-12-05 12:44:00,4,808,70,87,1,Norway,115,Medium Value
12383,5,1850.56,370.11,2010-12-22 14:28:00,2011-06-08 08:02:00,5,1532,84,99,1,Belgium,167,Medium Value
12384,2,585.27,292.64,2011-08-10 11:23:00,2011-11-11 08:39:00,2,126,26,27,1,Switzerland,92,Medium Value
12386,2,401.9,200.95,2010-12-08 09:53:00,2011-01-06 12:37:00,2,354,10,10,1,Australia,29,Medium Value
12388,6,2780.66,463.44,2011-01-17 11:12:00,2011-11-24 12:30:00,6,1462,57,100,1,Australia,311,High Value
12390,1,549.84,549.84,2011-09-21 09:33:00,2011-09-21 09:33:00,1,353,32,32,1,Belgium,0,Medium Value
12391,1,439.66,439.66,2011-11-18 12:07:00,2011-11-18 12:07:00,1,293,92,93,1,Cyprus,0,Medium Value
12393,4,1582.6,395.65,2011-01-11 09:47:00,2011-09-28 15:41:00,3,816,47,64,1,Australia,260,Medium Value
12394,2,1272.48,636.24,2011-05-06 14:01:00,2011-10-07 08:08:00,2,819,26,27,2,Belgium,153,Medium Value
12395,12,3018.63,251.55,2010-12-03 16:35:00,2011-11-20 15:21:00,8,2118,91,156,1,Belgium,351,High Value
12397,2,2409.9,1204.95,2011-07-27 14:21:00,2011-11-04 09:52:00,2,1263,110,126,1,Belgium,99,High Value
12398,1,1635.66,1635.66,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1394,85,85,1,Switzerland,0,Medium Value
12399,4,1108.65,277.16,2011-03-23 09:42:00,2011-08-12 13:15:00,4,1178,47,59,1,Belgium,142,Medium Value
12401,1,84.3,84.3,2011-02-09 13:50:00,2011-02-09 13:50:00,1,11,5,5,1,Belgium,0,Low Value
12402,1,225.6,225.6,2011-01-20 13:49:00,2011-01-20 13:49:00,1,94,11,11,1,Belgium,0,Low Value
12403,1,427.7,427.7,2011-10-21 10:51:00,2011-10-21 10:51:00,1,96,5,5,1,Denmark,0,Medium Value
12405,1,1710.39,1710.39,2011-07-14 08:52:00,2011-07-14 08:52:00,1,857,54,54,1,Finland,0,Medium Value
12406,2,3415.3,1707.65,2011-06-09 10:23:00,2011-11-17 19:22:00,2,1818,92,105,1,Denmark,161,High Value
12407,5,1708.12,341.62,2011-03-20 13:21:00,2011-10-21 10:11:00,4,1416,57,77,1,Belgium,214,Medium Value
12408,5,2888.55,577.71,2011-03-24 14:46:00,2011-11-07 12:27:00,4,1409,81,105,1,Belgium,227,High Value
