Country,country_total_quantity,country_total_revenue,country_customer_count,country_product_count,country_line_count,country_order_count,country_first_order_date,country_last_order_date,country_avg_order_value
United Kingdom,4241305,7285024.64,3920,3645,349203,16646,2010-12-01 08:26:00,2011-12-09 12:49:00,437.64
Netherlands,200361,285446.34,9,782,2359,94,2010-12-01 11:27:00,2011-12-08 12:12:00,3036.66
EIRE,140133,265262.46,3,1943,7226,260,2010-12-01 14:05:00,2011-12-08 15:54:00,1020.24
Germany,119154,228678.4,94,1664,9025,457,2010-12-01 13:04:00,2011-12-09 12:16:00,500.39
France,111428,208934.31,87,1522,8326,389,2010-12-01 08:45:00,2011-12-09 12:50:00,537.11
Australia,83891,138453.81,9,599,1181,57,2010-12-01 10:03:00,2011-11-24 12:30:00,2429.01
Spain,27933,61558.56,30,1091,2479,90,2010-12-03 12:20:00,2011-12-07 17:05:00,683.98
Switzerland,30082,56443.95,21,947,1841,51,2010-12-03 10:36:00,2011-11-29 08:40:00,1106.74
Belgium,23237,41196.34,25,777,2031,98,2010-12-03 16:35:00,2011-12-09 10:10:00,420.37
Sweden,36078,38367.83,8,261,450,36,2010-12-14 13:28:00,2011-12-05 16:26:00,1065.77
